Name,Cost,Type,Effect
Tenth District Veteran,{2}{W},Creature â€” Human Soldier,"Vigilance Whenever Tenth District Veteran attacks, untap another target creature you control."
Territorial Boar,{1}{G},Creature â€” Boar,"Whenever a creature with power 4 or greater enters the battlefield under your control, Territorial Boar gets +1/+1 and gains vigilance until end of turn."
Teyo's Lightshield,{2}{W},Creature â€” Illusion,"When Teyo's Lightshield enters the battlefield, put a +1/+1 counter on target creature you control."
"Teyo, the Shieldmage",{2}{W},Legendary Planeswalker â€” Teyo,You have hexproof. (You can't be the target of spells or abilities your opponents control.) [âˆ’2]: Create a 0/3 white Wall creature token with defender.
Teysa Karlov,{2}{W}{B},Legendary Creature â€” Human Advisor,"If a creature dying causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time. Creature tokens you control have vigilance and lifelink."
"Tezzeret, Master of the Bridge",{4}{U}{B},Legendary Planeswalker â€” Tezzeret,"Creature and planeswalker spells you cast have affinity for artifacts. (They cost {1} less to cast for each artifact you control.) [+2]: Tezzeret, Master of the Bridge deals X damage to each opponent, where X is the number of artifacts you control. You gain X life. [âˆ’3]: Return target artifact card from your graveyard to your hand. [âˆ’8]: Exile the top ten cards of your library. Put all artifact cards from among them onto the battlefield."
The Cauldron of Eternity,{10}{B}{B},Legendary Artifact,"This spell costs {2} less to cast for each creature card in your graveyard. Whenever a creature you control dies, put it on the bottom of its owner's library. {2}{B}, {T}, Pay 2 life: Return target creature card from your graveyard to the battlefield. Activate this ability only any time you could cast a sorcery."
The Circle of Loyalty,{4}{W}{W},Legendary Artifact,"This spell costs {1} less to cast for each Knight you control. Creatures you control get +1/+1. Whenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance. {3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance."
The Elderspell,{B}{B},Sorcery,Destroy any number of target planeswalkers. Choose a planeswalker you control. Put two loyalty counters on it for each planeswalker destroyed this way.
The Great Henge,{7}{G}{G},Legendary Artifact,"This spell costs {X} less to cast, where X is the greatest power among creatures you control. {T}: Add {G}{G}. You gain 2 life. Whenever a nontoken creature enters the battlefield under your control, put a +1/+1 counter on it and draw a card."
The Haunt of Hightower,{4}{B}{B},Legendary Creature â€” Vampire,"Flying, lifelink Whenever The Haunt of Hightower attacks, defending player discards a card. Whenever a card is put into an opponent's graveyard from anywhere, put a +1/+1 counter on The Haunt of Hightower."
The Magic Mirror,{6}{U}{U}{U},Legendary Artifact,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard. You have no maximum hand size. At the beginning of your upkeep, put a knowledge counter on The Magic Mirror, then draw a card for each knowledge counter on The Magic Mirror."
The Royal Scions,{1}{U}{R},Legendary Planeswalker â€” Will Rowan,"[+1]: Draw a card, then discard a card. [+1]: Target creature gets +2/+0 and gains first strike and trample until end of turn. [âˆ’8]: Draw four cards. When you do, The Royal Scions deals damage to any target equal to the number of cards in your hand."
The Wanderer,{3}{W},Legendary Planeswalker,Prevent all noncombat damage that would be dealt to you and other permanents you control. [âˆ’2]: Exile target creature with power 4 or greater.
Theater of Horrors,{1}{B}{R},Enchantment,"At the beginning of your upkeep, exile the top card of your library. During your turn, if an opponent lost life this turn, you may play cards exiled with Theater of Horrors. {3}{R}: Theater of Horrors deals 1 damage to target opponent or planeswalker."
Thicket Crasher,{3}{G},Creature â€” Elemental Rhino,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) Other Elementals you control have trample.
Thief of Sanity,{1}{U}{B},Creature â€” Specter,"Flying Whenever Thief of Sanity deals combat damage to a player, look at the top three cards of that player's library, exile one of them face down, then put the rest into their graveyard. You may look at and cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any type to cast that spell."
Thirsting Bloodlord,{2}{B}{B},Creature â€” Vampire,Other Vampires you control get +1/+1.
Thirsting Shade,{B},Creature â€” Shade,Lifelink {2}{B}: Thirsting Shade gets +1/+1 until end of turn.
Thorn Mammoth,{5}{G}{G},Creature â€” Elephant,"Trample Whenever Thorn Mammoth or another creature enters the battlefield under your control, Thorn Mammoth fights up to one target creature you don't control."
Thornwood Falls,nan,Land,"Thornwood Falls enters the battlefield tapped. When Thornwood Falls enters the battlefield, you gain 1 life. {T}: Add {G} or {U}."
Thought Collapse,{1}{U}{U},Instant,Counter target spell. Its controller puts the top three cards of their library into their graveyard.
Thought Distortion,{4}{B}{B},Sorcery,"This spell can't be countered. Target opponent reveals their hand. Exile all noncreature, nonland cards from that player's hand and graveyard."
Thought Erasure,{U}{B},Sorcery,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Thoughtbound Phantasm,{U},Creature â€” Spirit,"Defender Whenever you surveil, put a +1/+1 counter on Thoughtbound Phantasm. As long as Thoughtbound Phantasm has three or more +1/+1 counters on it, it can attack as though it didn't have defender."
Thousand-Year Storm,{4}{U}{R},Enchantment,"Whenever you cast an instant or sorcery spell, copy it for each other instant and sorcery spell you've cast before it this turn. You may choose new targets for the copies."
Thrash,{R/G}{R/G},Instant,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.
Thrashing Brontodon,{1}{G}{G},Creature â€” Dinosaur,"{1}, Sacrifice Thrashing Brontodon: Destroy target artifact or enchantment."
Threat,{2}{R}{G},Sorcery,Create a 4/4 red and green Beast creature token with trample.
Thrill of Possibility,{1}{R},Instant,"As an additional cost to cast this spell, discard a card. Draw two cards."
Thunder Drake,{3}{U},Creature â€” Elemental Drake,"Flying Whenever you cast your second spell each turn, put a +1/+1 counter on Thunder Drake."
Thundering Ceratok,{4}{G},Creature â€” Rhino,"Trample When Thundering Ceratok enters the battlefield, other creatures you control gain trample until end of turn."
Thunderkin Awakener,{1}{R},Creature â€” Elemental Shaman,"Haste Whenever Thunderkin Awakener attacks, choose target Elemental creature card in your graveyard with toughness less than Thunderkin Awakener's toughness. Return that card to the battlefield tapped and attacking. Sacrifice it at the beginning of the next end step."
Thunderous Snapper,{G/U}{G/U}{G/U}{G/U},Creature â€” Turtle Hydra,"Whenever you cast a spell with converted mana cost 5 or greater, draw a card."
Tibalt's Rager,{1}{R},Creature â€” Devil,"When Tibalt's Rager dies, it deals 1 damage to any target. {1}{R}: Tibalt's Rager gets +2/+0 until end of turn."
"Tibalt, Rakish Instigator",{2}{R},Legendary Planeswalker â€” Tibalt,"Your opponents can't gain life. [âˆ’2]: Create a 1/1 red Devil creature token with ""When this creature dies, it deals 1 damage to any target."""
Time Wipe,{2}{W}{W}{U},Sorcery,"Return a creature you control to its owner's hand, then destroy all creatures."
Tin Street Dodger,{R},Creature â€” Goblin Rogue,Haste {R}: Tin Street Dodger can't be blocked this turn except by creatures with defender.
Titanic Brawl,{1}{G},Instant,This spell costs {1} less to cast if it targets a creature you control with a +1/+1 counter on it. Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
Titanic Growth,{1}{G},Instant,Target creature gets +4/+4 until end of turn.
Tithe Taker,{1}{W},Creature â€” Human Soldier,"During your turn, spells your opponents cast cost {1} more to cast and abilities your opponents activate cost {1} more to activate unless they're mana abilities. Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)"
Tithebearer Giant,{5}{B},Creature â€” Giant Warrior,"When Tithebearer Giant enters the battlefield, you draw a card and you lose 1 life."
Toll of the Invasion,{2}{B},Sorcery,"Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. Amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)"
"Tolsimir, Friend to Wolves",{2}{G}{G}{W},Legendary Creature â€” Elf Scout,"When Tolsimir, Friend to Wolves enters the battlefield, create Voja, Friend to Elves, a legendary 3/3 green and white Wolf creature token. Whenever a Wolf enters the battlefield under your control, you gain 3 life and that creature fights up to one target creature you don't control."
Tome Raider,{2}{U},Creature â€” Faerie,"Flying When Tome Raider enters the battlefield, draw a card."
Tome of Legends,{2},Artifact,"Tome of Legends enters the battlefield with a page counter on it. Whenever your commander enters the battlefield or attacks, put a page counter on Tome of Legends. {1}, {T}, Remove a page counter from Tome of Legends: Draw a card."
Tome of the Guildpact,{5},Artifact,"Whenever you cast a multicolored spell, draw a card. {T}: Add one mana of any color."
Tomebound Lich,{1}{U}{B},Creature â€” Zombie Wizard,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.) Lifelink (Damage dealt by this creature also causes you to gain that much life.) Whenever Tomebound Lich enters the battlefield or deals combat damage to a player, draw a card, then discard a card."
"Tomik, Distinguished Advokist",{W}{W},Legendary Creature â€” Human Advisor,Flying Lands on the battlefield and land cards in graveyards can't be the targets of spells or abilities your opponents control. Your opponents can't play land cards from graveyards.
Topple the Statue,{2}{W},Instant,"Tap target permanent. If it's an artifact, destroy it. Draw a card."
"Torbran, Thane of Red Fell",{1}{R}{R}{R},Legendary Creature â€” Dwarf Noble,"If a red source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus 2 instead."
Torch Courier,{R},Creature â€” Goblin,Haste Sacrifice Torch Courier: Another target creature gains haste until end of turn.
Totally Lost,{4}{U},Instant,Put target nonland permanent on top of its owner's library.
Tournament Grounds,nan,Land,"{T}: Add {C}. {T}: Add {R}, {W}, or {B}. Spend this mana only to cast a Knight or Equipment spell."
Tower Defense,{1}{G},Instant,Creatures you control get +0/+5 and gain reach until end of turn.
Trail of Crumbs,{1}{G},Enchantment,"When Trail of Crumbs enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."") Whenever you sacrifice a Food, you may pay {1}. If you do, look at the top two cards of your library. You may reveal a permanent card from among them and put it into your hand. Put the rest on the bottom of your library in any order."
Tranquil Cove,nan,Land,"Tranquil Cove enters the battlefield tapped. When Tranquil Cove enters the battlefield, you gain 1 life. {T}: Add {W} or {U}."
Trapped in the Tower,{1}{W},Enchantment â€” Aura,"Enchant creature without flying Enchanted creature can't attack or block, and its activated abilities can't be activated."
Treats to Share,{G},Sorcery â€” Adventure,"Create a Food token. (Then exile this card. You may cast the creature later from exile. A Food token is an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
